"nombre","direccion","telefono","web","distanciaKm"
"HQ - LAS ROZAS, Las Rozas","C. de Gabriel García Márquez, 4, 1st Floor, 28232 Las Rozas de Madrid, Madrid","917 93 67 41","hq.com","20.58"
"IN-WORK","C. San Ignacio de Loyola, 3, local 4, 28229 Villanueva del Pardillo, Madrid","676 48 08 19","in-work.es","24.24"
"El Jardín de La Chalota","C. de Navahonda, 15, 28212 Navalagamella, Madrid","672 33 97 70","lachalotacatering.com","35.80"
"Finca La Alborada","Carr. el Escorial, 13, 28260 Galapagar, Madrid","689 90 44 44","villacaprice.es","28.08"
"Finca La Alcudia","Acceso por la gasolinera, Autovía M-501, km. 26,800, salida 25 (dirección Avenida San Martín de Valdeiglesias, 28609, Madrid","653 68 06 36","fincalaalcudia.com","34.28"
"El Encinar de Mambré","C. Almendro, 28213 Colmenar del Arroyo, Madrid","915 56 14 61","elencinardemambre.com","41.06"
"Finca La Blanca","Carretera M513, km 15600, 28690 Brunete, Madrid","678 49 62 47","fincalablancamadrid.com","24.18"
"HACIENDA LOS PRINCIPES (Finca la Maestranza)","Cam. de la Zarzuela, 65, 28670 Villaviciosa de Odón, Madrid","615 19 56 32",,"24.94"
"Finca Correal","Paraje Los Alamillos, 170, 28600 Navalcarnero, Madrid","600 29 76 91","fincacorreal.es","31.48"
"Plaza Mágica El Álamo Cumpleaños y Eventos","C. de la Virgen del Carmen, 4, 28607 El Álamo, Madrid","641 78 74 07",,"32.29"
"Mijoy Eventos","C. Albacete, 7, 45940 Valmojado, Toledo","910 40 65 76","instagram.com","40.59"
"Eurofiestas","C. Cuenca, 1000, 45950 Casarrubios del Monte, Toledo","689 29 51 04","eurofiestas.es","37.66"
"A TU AIRE | ACG","C. de Mariano González, 41, Local Dcho, 28600 Navalcarnero, Madrid","639 92 90 46","instagram.com","30.62"
"BITÁCORA'S","Av. de la Constitución, 43, 45940 Valmojado, Toledo","651 80 89 96","facebook.com","40.79"
"A tu bola park Valmojado (parque de bolas)","Av. Madrid, 28, 45940 Valmojado, Toledo","640 98 23 01",,"40.79"
"Come Y Caña","Av. de la Constitución, 5, 13620 Pedro Muñoz, Ciudad Real","655 32 08 13",,"40.79"
"La Finca de Tomás","Paraje El Rabosero, Pol 77, Parcela 74, 16630 Mota del Cuervo, Cuenca","638 52 79 18","lafincadetomas.com","129.20"
"Salón De Eventos Villacañas","Ctra. Tembleque, 4, 45860 Villacañas, Toledo","617 37 09 08",,"93.79"
"Intelier Airén","Av. de Herencia, s/n, 13600 Alcázar de San Juan, Ciudad Real","926 58 82 00","intelier.com","121.24"
"Brindys un lugar para celebrar","C. Italia, 46, 28600 Navalcarnero, Madrid","691 66 70 15",,"31.48"
"Centro Ecuestre Los Caireles","camino arriba, 45730 Villafranca de los Caballeros, Toledo","625 23 30 51",,"113.02"
"Restaurante Bodega Tío Toria","Av. Miguel de Cervantes, 93, 16400 Tarancón, Cuenca","601 64 88 49","bodegatiotoria.com","72.94"
"Finca Los Almendros","C. Tres, 201, 28597 Fuentidueña de Tajo, Madrid","605 92 20 48","fincalosalmendros.com","59.63"
"Party Max","Bajada Barreras, 1, 45370 Santa Cruz de la Zarza, Toledo","603 03 87 59",,"64.54"
"Sorella events","C. Velsinia, 56, 45370 Santa Cruz de la Zarza, Toledo","925 12 54 92","salonesparaiso.com","64.54"
"Finca Venta Reyes","C. Rda. del Mediodía, 18, 28370 Chinchón, Madrid",,,"65.94"
"La Tribu | Local para Fiestas Infantiles con Parque de Bolas en Chinchón","Junto a la parada de bus, C. Rda. del Mediodía, s/n, 28370 Chinchón, Madrid","659 14 79 82","wa.me","38.75"
"Restaurante Tres Treboles","GASOLINERA CEPSA, Autovía del Este, 49, DESVIO 48, 28590 Villarejo de Salvanés, Madrid","674 72 15 95",,"44.40"
"Finca de Chavarri","Agua de Carabaña, M-204, KM 7800, 28560 Carabaña, Madrid","699 26 36 46","salasia.es","41.31"
"SUGAR ︎ ︎ ︎ ︎︎ ︎ , salas de ocio. Sala para eventos familiares. Parque de bolas Rivas Arganda. Cumpleaños Rivas, Arganda.","Av. de Madrid, 128, nave 6, 28500 Arganda del Rey, Madrid","644 70 35 44","salasugar.com","21.43"
"Finca Ña Ave","28530 Morata de Tajuña, Madrid","674 29 26 32",,"31.82"
"Reunidos","C. Lisboa, 4, L5, 28850 Torrejón de Ardoz, Madrid","660 32 33 01","reunidosycoleccionistas.com","19.71"
"La Kedada | Sala de Eventos y cumpleaños","C. Francisco Salzillo, 7, Local 3, 28850 Torrejón de Ardoz, Madrid","648 03 75 24","lakedada.es","22.25"
"A Tu Rollo","C. Brasil, 28, 28850 Torrejón de Ardoz, Madrid","643 53 18 82","aturollo.es","20.33"
"Aamapark","C. Puerto de las Pilas, 15, Vallecas, 28031 Madrid","601 43 18 60","aamapark.es","7.17"
"Sala de eventos FRIENDS CELEBRACIONES","C. Adolfo Pérez Esquivel, Local 2, 28830 San Fernando de Henares, Madrid","680 14 89 35","friendscelebraciones.com","14.36"
"Sala Innovate Barajas","C. Playa de San Juan, 13, Barajas, 28042 Madrid","644 47 34 66","salainnovate.com","14.36"
